word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
rxwk9a419y,3.29738528365,3.14928755399,2.99949860166,3.31698321656,4.08507641147,4.08763946831,2.51350554603,2.63631493268,2.5253600335,2.45899736435,2.68050338265,3.08703566481,3.17659764062,2.93153051341,3.23241521148,4.10112817584,4.07547396459,2.82542611777,2.66005696483,2.49501034697,2.52285588707,2.65339119902,3.11866880641,3.30596010156,3.14200687375,3.13858336348,4.07401144601,4.07704069834,3.49122157624,2.72345567204,2.60918622293,2.39520643879,2.49561548671,2.70753611245,3.25575478664,3.13791648695,3.09995673424,3.18938502593,4.08407556778,4.09117436071,2.60658937716,2.6079044782,2.53812518775,2.54980871104,2.69761288735,2.92204390615,3.14636924339,2.97940827971,3.20367867818,4.09919705538,4.1064628838,2.89028126193,2.34781771271,2.44701700374,2.53648829891,2.61096908627,2.92019291919,3.10332470706,3.39849555014,3.01605786596,3.47269795454,4.14000495062,4.14482319399,2.5000141855,2.62494712082,2.48163369515,2.50836135515,2.71659452811,3.26170458759,3.02734960777,3.16902096646,3.1589317952,4.10191883368,4.10298223052,2.68280438657,2.50407553898,2.57396313776,2.49696422428,2.5053874182,3.18847146115,2.99819225038,3.50819292603,3.06340160133,3.62373157194,4.10940979055,3.5053874182,2.5600091618,2.54869644853,2.43109559837,2.55974042608,2.79512406505,2.94074884336,3.20588072989,3.12427593201,3.51341738286,4.12525348602,4.11360915107,2.58883172559,2.51305104418,2.58436549499,2.58222574634,2.67499714465,3.0601825611,3.09286094334,2.96179386451,3.2155384283,4.11035398266,4.10109376674,2.81261258711,2.55557807277,2.46066910332,2.64656708695,2.58286513757,2.99556769992,3.08661864742,3.07567965143,3.11604292685,3.20756705057,4.10991586302,3.5005452028,2.69485188709,2.71081221226,2.56244939518,2.70599034721,2.86792556993,3.17185641385,3.20897851728,3.26278998517,3.15354387488,4.11079166077,4.1333153169,2.66120400361,2.71113207231,2.6167634009,2.50226053854,2.63312113364,3.26454799108,3.02928229516,3.11307389359,3.0239722565,3.83039617648,4.10298223052,2.89024631568,2.55499074472,2.45101845216,2.45599468254,2.48841312915,2.76250805826,3.10428220709,2.98646165926,2.99033885479,3.50876531873,4.10876791768,4.13270784486,2.65481804049,2.63833323235,2.47582568104,2.67172808824,2.83381469719,3.3093259331,3.39052297918,3.11624537894,3.57112627708,4.17750764219,4.1757726596,2.76685330809,2.68719441673,2.56071275321,2.58943191908,2.73215241807,3.11306874368,3.30944384919,3.18690499132,3.1973056249,3.7650722011,4.25743856686,3.19923143503,2.6610151745,2.54878237816,2.5265977091
ganhar,4.14248332366,4.10353006343,4.11344195397,4.09513446694,4.08507641147,4.08763946831,4.0817072701,4.09871293058,4.09356175757,4.08224665474,3.81083715114,3.78600566914,3.77865763195,4.07765854908,4.0775132515,4.10112817584,4.07547396459,4.08069862287,4.09142072899,4.086074954,4.10263948369,4.08475496318,4.07291131585,3.30596010156,3.61912812847,3.39385586859,3.22891340599,2.64567693418,2.6783082196,4.08518350805,2.64930344614,2.78055732015,2.97273674143,3.6283548664,4.10085282666,4.09215899639,4.09995673424,3.39350500859,4.08407556778,2.62877636281,2.98400771869,2.65210814069,2.78410761709,3.49181676406,3.79452290036,3.28106584879,2.63821375493,3.49129164069,3.32861741479,3.79816705972,4.1064628838,4.09440124458,4.09600573972,3.78943968457,4.09279079968,4.1023307801,3.39731417391,4.10332470706,4.09746555447,4.09523911201,4.17166795887,3.14000495062,2.5013705175,3.04408222986,3.16206630522,3.83381621326,2.78820205174,2.66544200566,2.78458333287,3.26143281381,3.04408222986,4.11317430463,4.10191883368,4.10298223052,4.09777773454,2.88227148945,3.26034401479,2.75660153479,3.80641741386,4.09156144814,4.11213560268,4.11025291735,4.10479428649,4.10085282666,4.10940979055,4.10744740952,2.99013385385,2.57352003226,3.15809432631,3.63892167213,4.15685190107,3.33868885203,3.63184946216,3.22118594501,2.77305469336,4.12525348602,4.11360915107,4.10734566547,4.1151110355,4.10287943487,3.42732378636,2.7261496671,3.25647720624,4.09286094334,4.10792190019,2.79640912056,4.11035398266,4.10109376674,3.81261258711,4.09964611712,4.123426935,4.12368834167,4.11434405461,4.10951105223,3.01406798027,3.63995108187,2.75431509083,2.85538453245,4.10991586302,4.10260519413,3.15860918025,2.55591025228,3.36408174141,2.83632411571,3.16895556559,4.12609892329,4.11206850427,3.63076677046,2.87733746294,2.60564168245,3.83228532123,2.74663419894,2.9629440453,2.56405705039,2.77262171444,3.8372411163,2.76722335027,4.1084635412,4.11307389359,2.95702546687,2.90097725077,3.02380098447,4.09436629834,3.49699879774,2.96764824816,2.6320859416,2.3377689923,2.90081075642,4.10428220709,4.10040501157,4.16643011384,4.11082531005,4.10876791768,4.13270784486,3.83090929955,4.14348321067,4.14792353898,4.14884934296,4.15603399192,4.15442397311,4.16867422957,4.1576380641,4.17318626841,3.87647764653,4.1757726596,4.19821707224,4.19234439505,4.19418120879,3.90118578014,4.20927367278,4.22701209599,4.21253383619,4.22829767647,4.23869831006,3.94116346016,4.25743856686,4.24062412019,4.24079877112,4.2477523825,3.5265977091
direction,2.61100440662,2.62640880871,2.83468835301,2.61801321222,2.78404641581,2.76542017358,2.70149602839,2.84344042548,2.7925317619,2.96830330244,3.07047446165,2.8317631597,2.90359636856,2.71593071307,2.93138521582,2.68615482787,2.92934592891,2.80194502192,3.188330742,2.85562603262,2.87219056231,2.74233228236,2.69270007414,2.97016799963,2.86580046181,3.01364462688,2.86989146335,3.03564801318,3.01410032152,2.8064299071,2.7427251313,3.10277661488,2.83140758863,3.06408343596,3.02167158061,2.91606773734,2.66859297008,2.94634697725,2.76185627304,2.710963119,2.49589107967,2.55519812768,2.45311439805,2.44066424161,2.71534165431,2.72822388013,2.7783924581,2.67837828404,2.69179531721,2.82044345443,2.87601396242,2.77218194985,2.86555681834,2.69252967156,2.8623418783,2.847058275,2.75386149742,2.84805220196,2.84219304937,2.91914785295,2.82924527805,2.86125134967,2.86606959304,2.84450987495,2.97018077898,2.93072622627,2.74869351046,2.81805216887,2.78458333287,2.80550085816,2.82223348024,2.88272538326,2.72170759197,2.82422862957,2.73604989852,2.69038596321,2.82668845385,2.66766045145,2.80641741386,2.88744146549,2.90801562003,2.67888915319,2.76237160566,2.95472479098,2.76698710972,2.74571957351,2.8253236052,2.74327111328,2.71439682707,2.75431509083,2.95273191841,3.07544741725,2.72875947517,2.92015594935,2.75374953817,2.94916222697,2.99966579877,2.96121762979,3.0011676832,2.87243051349,2.80407449596,2.9924175565,2.84630274115,2.83758843824,2.76549921936,2.83987481434,3.06896129751,2.89697378408,2.90952260012,2.95351808144,2.8681544299,2.97756030599,2.85907154951,2.90539106957,3.04883008653,2.88662341521,2.81501293119,2.9345657785,2.87946694165,2.84733268902,3.05387382973,2.85694024794,2.86347939084,2.90690518999,2.94710681598,2.78367624247,2.88161958289,2.9617599895,2.99384303201,2.99684830846,3.05413407085,3.10836203496,2.9629440453,2.80709509907,3.03586314921,2.99214307629,3.03046478504,2.90434355855,2.96694585792,2.80212350688,3.13142617215,2.72277098881,2.89024631568,2.75663610825,2.90965630118,2.93311593726,2.89707700321,2.82617713812,2.92819094804,2.95427697589,1.61376189773,1.73061406834,1.77835414433,1.74710157126,1.59036005126,1.53495717709,1.47306239824,1.3998864817,1.37788274154,1.3669634986,1.32731475911,1.34206031578,1.33876556473,1.28374588014,1.24788924927,1.21144533798,1.20736726863,1.24674748691,1.21544404153,1.14332069247,1.18759797681,1.17311971701,1.17521923299,1.18103220615,1.20796619505,1.22281011023,1.21245970076,1.18580290959,1.1859230752,1.20231525381
unfollower,2.841453328,3.62640880871,3.33529070358,2.6479764356,2.48301642014,2.67266612034,3.47964727877,3.3205616802,2.42146389963,2.42903414097,2.71392713813,3.60991441009,3.47762763628,2.49787495247,2.44404479592,2.70318816717,3.59835270987,3.47863863154,2.50035612197,2.47329109728,2.80160948803,3.48269497185,3.29476006547,2.62171335404,2.46278092761,2.77060657819,3.59689019129,3.59991944362,2.58813158925,2.50539991144,2.86191153902,3.50071662356,4.08668009373,2.6283548664,2.36845906683,2.79112900073,3.49789674291,3.39350500859,3.60695431306,3.61405310599,3.194861084,2.51948257542,2.67496314766,2.77165746066,2.31022306101,2.50291459841,2.92452049378,3.6162303773,2.60161868686,2.5806831155,3.06507019864,4.09440124458,3.49394574839,2.47768582351,2.36851493008,2.72211953839,3.79525418258,3.40435470273,2.49540556315,2.39626910767,2.9412190375,3.83897495496,3.54276320266,2.59178455886,2.51424882333,2.75463496721,3.41145134214,3.49474577849,2.51573802057,2.35834282682,2.82223348024,3.81214430897,3.80088883802,2.46951377494,2.45432505805,2.75733275284,3.40647205047,3.62190296089,3.06605472437,2.67658810017,2.4786671471,3.03107167131,4.10479428649,2.63845482876,2.47594133497,3.10744740952,3.62695595144,3.32684769892,2.6651788044,2.51398293552,2.72548813691,4.11684010241,3.41000071254,2.69291216785,2.53569377757,2.97912545035,4.11360915107,3.50528567414,2.57104299115,2.50081944354,2.87102128559,4.10636090881,3.80054525059,4.09286094334,3.80689190452,3.00468506299,2.5540514819,2.6097320729,2.68227881861,2.4975861258,2.61827695668,3.12368834167,3.81331405895,2.42826981485,2.4747988188,2.88662341521,3.63892167213,3.41168703322,2.6327946083,2.40363518979,2.81979062369,3.55591025228,3.84120299613,2.69019608003,2.66080007713,2.78367624247,3.41309849993,4.10788802518,2.66062835297,2.48754237037,2.65619406218,4.10836203496,3.50701208965,2.53992337067,2.44294653732,2.85951751101,3.80861603543,3.63134228648,2.55677139283,2.51208889552,2.70006240799,4.10298223052,3.49230630701,2.44584627529,2.49052699344,2.83045359537,4.10119698587,3.50287074775,2.56021416274,2.34453015589,2.91115760874,4.11082531005,3.50670792635,2.58863980051,2.56373757114,2.78175537465,4.14792353898,3.37069809258,2.52256553634,2.46422789309,3.02254619389,3.55557807277,3.3280882284,2.53405496571,2.64429374256,3.15682438709,4.19234439505,3.71705995407,3.90118578014,3.73215241807,2.72186211767,2.54977600451,2.66009595241,2.58548579629,2.58898094205,2.8260748027,3.63856412886,2.79364073978,2.61428392692,2.5265977091
5glhq7sfzm,4.14248332366,4.10353006343,4.11344195397,4.09513446694,4.08507641147,4.08763946831,4.0817072701,4.09871293058,4.09356175757,4.08224665474,4.1118671468,4.08703566481,4.07968762761,4.07765854908,4.0775132515,4.10112817584,4.07547396459,4.08069862287,3.61429947427,2.67110160602,2.76021680287,2.50497136656,2.58154962202,2.76189205721,2.98230603088,2.97888252062,2.9600680937,3.23194265833,4.09328156757,2.909092249,2.60918622293,2.58426267501,2.67170674576,2.54917362035,2.77863353192,3.09215899639,3.32180548386,3.09247501293,3.78304557211,4.09117436071,2.81919747004,2.71905493032,2.58781297194,2.51409315877,2.5904029177,2.95007262975,3.02143050679,2.83807912691,3.40779866084,4.09919705538,3.80543288813,2.48161738786,2.63360774182,2.55899076319,2.58764082136,2.75990809928,2.86583525687,3.14908219762,2.92137429542,3.39626910767,4.17166795887,2.86125134967,2.72984984602,2.60474953602,2.56000631389,2.6296962306,2.83166774552,3.05541308466,3.1068026276,3.20344086683,3.82223348024,4.11317430463,2.62479757896,2.57150331348,2.71756649283,2.49409131807,2.72523081309,3.01984296956,2.99350405722,3.13731893871,3.26703756267,4.11025291735,3.10479428649,2.62373157194,2.5653417462,2.53924568546,2.54777470539,2.80396895364,3.11233683575,3.07465024169,3.07767065502,3.51478011108,4.10897071688,2.92015594935,2.70050402622,2.56895098526,2.55730665031,2.78512637074,2.96898299983,3.10287943487,3.2232038037,3.10636090881,4.10157524626,4.09286094334,2.53972017612,2.56232591453,2.59184004279,2.66973000258,2.75191474675,3.09964611712,3.04424568896,3.04450709562,3.0004007023,4.10951105223,3.12801133258,2.63995108187,2.61089294853,2.74892920154,2.6047658847,2.70466518545,3.0860585131,2.98187898455,3.10084030664,3.66023285665,4.12319807503,2.78367624247,2.75034066825,2.55158552442,2.57630746727,2.56672361642,2.92919533424,3.10836203496,3.26397404096,3.50606510341,3.81401439959,3.43930110763,2.51858142406,2.58994960133,2.73286265188,2.64075550465,2.73348616348,2.92689097146,3.19127631134,3.05766610391,3.21068629685,4.10920719632,3.02201573982,2.67356697492,2.67291844294,2.84513250646,2.6349511968,2.63370405534,3.15452540824,2.9285878622,3.17769678577,3.84245321501,4.14792353898,2.61737042592,2.72467022776,2.55236398179,2.66352425125,2.65248808578,3.27009628142,3.17750764219,3.27268267261,3.42006582186,4.19234439505,3.41602995841,2.71085408197,2.73215241807,2.72186211767,2.79756048822,2.86656984046,3.1973056249,3.06610219677,3.41234052685,3.76350286547,4.24079877112,3.01730346112,2.74844645872
yammouni,4.14248332366,4.10353006343,4.11344195397,3.61801321222,4.08507641147,3.78660947265,4.0817072701,3.62159167586,3.7925317619,3.48018666342,3.63474589208,3.48497567348,3.77865763195,3.37868854475,3.47545326017,3.32297692546,3.59835270987,4.08069862287,4.09142072899,4.086074954,4.10263948369,4.08475496318,4.07291131585,3.60699009722,3.79521938753,3.79179587726,3.29586019563,3.59991944362,3.61616031285,3.48312351672,3.83963514431,3.80174661922,3.78565009807,4.10547612112,3.79982283099,4.09215899639,2.21914314196,2.51269141631,2.48201557645,2.8359018556,3.01876982495,3.14502366259,3.15208440238,3.31572550501,3.31740164564,3.28106584879,3.49855176151,3.19026164502,3.26167062516,3.40022705104,3.40749287946,3.24930320457,3.49394574839,3.3914996759,3.49073080835,3.50027078877,3.79525418258,3.8022947114,3.25236751446,3.61811785729,3.26857797188,3.44103494628,3.54276320266,3.82223348024,3.51424882333,3.23175622193,3.41145134214,3.31865451944,3.80577263194,3.50447086249,3.52120348457,3.4142043003,3.40294882934,3.80195223485,3.79674773888,3.66042273983,3.62832080008,3.79799421995,4.10744740952,3.48950145682,3.81110560702,3.63313166263,4.10479428649,3.49879283533,3.50734979922,3.6303261548,3.80304721049,3.50293895797,3.81130684008,3.81501293119,3.45788189673,3.81581010675,3.50691072555,3.52221594068,3.81444737852,4.12525348602,4.11360915107,3.63022441075,3.81408103984,3.62575818015,3.52423379937,2.11072571421,2.51051063923,2.61573968862,2.43582404225,2.67147038395,2.48710469227,2.54479126597,2.49039329237,2.39207594103,2.42445693067,2.63232664783,2.55804155384,2.57803213519,2.76628349656,2.83831873563,2.71810291818,2.99671368525,2.71197585435,2.68763184616,2.89897186974,2.85694024794,3.06305174575,2.88208160627,2.76147023901,3.04691767724,3.11206850427,2.9617599895,2.76536370349,2.83203805982,3.35516406652,2.85308952985,3.06767939582,3.02894384869,2.73483315355,3.23518112497,2.93355477204,3.40949353687,3.51101390227,3.14891099311,3.01748281984,3.2578841905,3.24926825832,3.62193753435,3.63665502912,3.10920719632,3.62407573115,3.25983269906,3.40531220276,3.14616250213,3.26334012685,2.88037638868,3.26366987766,3.05352659881,3.13193929521,2.86472960972,2.78619570296,3.1074566578,2.95191400927,2.7926961371,3.05473087726,3.31254002409,3.87215627275,3.13611495704,3.27268267261,3.2439745628,3.28925440805,3.19418120879,3.35711773579,3.30618368579,3.44886084561,3.51356383185,3.27405516704,1.84776320296,2.21280967814,1.82286966283,2.05029242202,2.19940608596,2.30823312988,2.48520502395
fickle,2.88721081856,2.92743880437,2.79122265923,2.83986196184,2.72334857545,2.80888586736,2.80295366914,3.09871293058,2.94743372189,2.66727330677,2.9979237945,2.88291568215,2.9657442753,3.2995072987,3.0775132515,3.19803818885,3.03408127943,3.23560058286,3.39245072466,3.00689370795,3.06124679853,3.3066037128,2.84246239448,3.18102136495,3.05485669803,3.18973588593,2.99483019996,2.99785945229,3.19019158058,3.38621350372,4.14066513998,4.10277661488,4.08668009373,4.10547612112,4.10085282666,4.09215899639,4.09995673424,4.09247501293,4.08407556778,4.09117436071,4.09795107099,4.09926617203,3.80529691616,4.09387675539,3.79452290036,3.82513389314,4.10061175283,4.09335163202,3.80573866951,4.09919705538,4.1064628838,3.79337124892,4.09600573972,4.09046968023,4.09279079968,4.1023307801,4.09628417824,4.10332470706,4.09746555447,4.09523911201,3.26857797188,2.96391369156,3.14482319399,3.22017348891,3.11630881466,3.28974816891,3.03124010043,2.89268578717,3.1068026276,3.02734960777,3.1232634759,3.11317430463,3.02273758763,3.14873972108,3.1435352251,3.18330148512,3.06404936964,3.05763153045,3.20435742253,3.31341019776,3.11213560268,3.15601040791,3.15055177705,3.25575478664,4.10940979055,4.10744740952,4.10407720616,4.1049989493,4.11233683575,4.11604292685,3.85582190541,4.11684010241,4.10897071688,4.12427593201,4.11547737419,4.12525348602,4.11360915107,4.10734566547,4.1151110355,4.10287943487,3.82526379503,4.10636090881,4.10157524626,4.09286094334,4.10792190019,4.1186284153,4.11035398266,3.80006377107,4.11364258277,4.09964611712,4.123426935,4.12368834167,4.11434405461,4.10951105223,4.12801133258,3.81604234092,4.11604292685,4.11065703756,4.10991586302,4.10260519413,3.05387382973,3.1579702436,3.36408174141,3.18311160193,3.04401682898,3.12609892329,3.07067581911,2.9617599895,3.02860513827,3.06939897561,2.98718728122,3.02918078891,3.02989083493,2.99418174243,3.03586314921,3.18402860253,3.03046478504,3.15422103176,3.11307389359,3.80212350688,3.83039617648,4.10298223052,4.09436629834,4.09905878907,4.11377628384,4.10920719632,4.10119698587,3.80390074341,3.80325221143,4.10040501157,4.16643011384,4.11082531005,4.10876791768,3.65558659014,3.83090929955,4.14348321067,4.14792353898,4.14884934296,4.15603399192,4.15442397311,4.16867422957,4.1576380641,4.17318626841,4.17750764219,4.1757726596,3.89718707658,4.19234439505,4.19418120879,4.2022157758,4.20927367278,3.92598210033,4.21253383619,4.22829767647,4.23869831006,4.24219345582,4.25743856686,4.24062412019,4.24079877112,3.77063112778,3.5265977091
